"X-Angle(бу)","Y-Angle(бу)","Z-Angle(бу)"
4.722000,-5.878000,13.485786
4.722000,-5.878000,13.485786
4.722000,-5.878000,13.485786
2.480000,-1.514000,9.393363
2.480000,-1.514000,9.393363
2.480000,-1.514000,9.393363
2.480000,-1.514000,9.393363
2.480000,-1.514000,9.393363
-3.442000,-5.328000,11.523692
-3.442000,-5.328000,11.523692
-3.442000,-5.328000,11.523692
-3.442000,-5.328000,11.523692
-3.442000,-5.328000,11.523692
2.780000,-3.994000,14.354206
2.780000,-3.994000,14.354206
2.780000,-3.994000,14.354206
2.780000,-3.994000,14.354206
2.780000,-3.994000,14.354206
-4.400000,-0.686000,12.354560
-4.400000,-0.686000,12.354560
-4.400000,-0.686000,12.354560
-4.400000,-0.686000,12.354560
-4.400000,-0.686000,12.354560
-2.204000,1.848000,10.221764
-2.204000,1.848000,10.221764
-2.204000,1.848000,10.221764
-2.204000,1.848000,10.221764
-2.204000,1.848000,10.221764
-1.664000,4.116000,13.846628
-1.664000,4.116000,13.846628
-1.664000,4.116000,13.846628
-1.664000,4.116000,13.846628
-1.664000,4.116000,13.846628
-0.838000,-3.810000,12.309751
-0.838000,-3.810000,12.309751
-0.838000,-3.810000,12.309751
-0.838000,-3.810000,12.309751
-0.838000,-3.810000,12.309751
-2.772000,1.504000,9.797550
-2.772000,1.504000,9.797550
-2.772000,1.504000,9.797550
-2.772000,1.504000,9.797550
-2.772000,1.504000,9.797550
-2.066000,3.862000,7.640056
-2.066000,3.862000,7.640056
-2.066000,3.862000,7.640056
-2.066000,3.862000,7.640056
-2.066000,3.862000,7.640056
3.794000,-6.960000,11.014675
3.794000,-6.960000,11.014675
3.794000,-6.960000,11.014675
3.794000,-6.960000,11.014675
3.794000,-6.960000,11.014675
1.916000,-0.554000,7.118449
1.916000,-0.554000,7.118449
1.916000,-0.554000,7.118449
1.916000,-0.554000,7.118449
1.916000,-0.554000,7.118449
0.284000,-4.926000,14.160604
0.284000,-4.926000,14.160604
0.284000,-4.926000,14.160604
0.284000,-4.926000,14.160604
0.284000,-4.926000,14.160604
4.738000,5.996000,10.804707
4.738000,5.996000,10.804707
4.738000,5.996000,10.804707
4.738000,5.996000,10.804707
4.738000,5.996000,10.804707
5.108000,4.632000,14.513581
5.108000,4.632000,14.513581
5.108000,4.632000,14.513581
5.108000,4.632000,14.513581
5.108000,4.632000,14.513581
2.566000,1.130000,13.318902
2.566000,1.130000,13.318902
2.566000,1.130000,13.318902
2.566000,1.130000,13.318902
2.566000,1.130000,13.318902
-0.994000,2.098000,13.018924
-0.994000,2.098000,13.018924
-0.994000,2.098000,13.018924
-0.994000,2.098000,13.018924
-0.994000,2.098000,13.018924
3.996000,6.316000,15.661404
3.996000,6.316000,15.661404
3.996000,6.316000,15.661404
3.996000,6.316000,15.661404
3.996000,6.316000,15.661404
0.088000,2.724000,8.781692
0.088000,2.724000,8.781692
0.088000,2.724000,8.781692
0.088000,2.724000,8.781692
0.088000,2.724000,8.781692
1.962000,-3.692000,11.729975
1.962000,-3.692000,11.729975
1.962000,-3.692000,11.729975
1.962000,-3.692000,11.729975
1.962000,-3.692000,11.729975
4.230000,0.510000,12.363912
4.230000,0.510000,12.363912
4.230000,0.510000,12.363912
